region,tenure,age,income,marital,address,ed,employ,retire,gender,reside
2,13,44,64,1,9,4,5,0,0,2
3,11,33,136,1,7,5,5,0,0,6
3,68,52,116,1,24,1,29,0,1,2
2,33,33,33,0,12,2,0,0,1,1
2,23,30,30,1,9,1,2,0,0,4
2,41,39,78,0,17,2,16,0,1,1
3,45,22,19,1,2,2,4,0,1,5
2,38,35,76,0,5,2,10,0,0,3
3,45,59,166,1,7,4,31,0,0,5
1,68,41,72,1,21,1,22,0,0,3
2,5,33,125,0,10,4,5,0,1,1
3,7,35,80,0,14,2,15,0,1,1
1,41,38,37,1,8,2,9,0,1,3
2,57,54,115,1,30,4,23,0,1,3
2,9,46,25,0,3,1,8,0,1,2
1,29,38,75,1,12,5,1,0,0,4
3,60,57,162,0,38,2,30,0,0,1
3,34,48,49,0,3,2,6,0,1,3
2,1,24,20,0,3,1,3,0,0,1
1,26,29,77,1,3,4,2,0,0,4
3,6,30,16,0,7,3,1,0,1,1
1,68,52,120,1,17,1,24,0,0,2
3,53,33,101,0,10,5,4,0,1,2
3,55,48,67,1,19,1,25,0,0,3
3,14,43,36,1,18,1,5,0,0,5
2,1,21,33,0,0,2,0,0,1,3
2,42,40,37,0,7,2,8,0,1,1
3,25,33,31,1,11,1,5,0,0,4
1,9,21,17,1,1,2,2,0,1,3
2,13,33,19,1,9,4,0,0,1,2
1,56,37,36,1,6,1,13,0,1,2
1,71,53,155,1,27,5,12,0,0,2
1,35,50,140,1,26,2,21,0,1,4
1,11,27,55,1,8,5,0,0,0,3
2,60,46,163,1,13,3,24,0,0,2
3,20,35,52,1,11,4,0,0,0,2
2,54,60,211,0,38,4,25,0,0,1
1,44,57,186,1,1,2,17,0,0,2
1,11,41,39,1,0,1,1,0,1,2
2,72,57,22,0,34,2,35,1,1,1
3,10,41,30,0,7,1,7,0,0,1
2,15,28,29,0,0,2,4,0,1,1
2,27,28,23,1,4,2,8,0,0,5
1,9,36,62,1,14,4,10,0,0,6
1,64,43,76,1,20,4,20,0,1,4
1,65,41,74,1,3,4,16,0,0,2
1,49,51,63,1,27,4,19,0,0,5
3,47,41,36,1,0,4,8,0,0,2
3,9,34,33,1,9,2,8,0,1,4
1,5,36,29,0,14,2,9,0,1,1
2,30,34,27,1,4,2,1,0,0,5
1,56,52,49,1,28,2,12,0,0,4
3,10,22,24,0,0,4,0,0,0,1
1,7,26,26,1,3,2,2,0,0,5
1,52,27,47,0,6,3,5,0,0,2
2,36,45,94,1,1,2,18,0,1,5
3,27,34,21,0,8,3,4,0,1,1
1,58,62,27,1,36,1,0,0,0,2
2,41,52,30,0,27,2,2,0,1,1
2,47,40,127,1,16,4,12,0,1,4
2,55,39,137,1,15,2,20,0,1,2
2,56,50,80,1,1,2,24,0,1,4
3,35,55,30,0,24,2,2,0,0,1
2,69,51,438,1,11,4,23,0,1,2
2,44,39,79,0,16,2,16,0,0,1
3,36,47,63,1,16,1,23,0,0,2
3,28,51,40,1,22,3,10,0,1,6
1,72,67,51,1,44,1,34,1,0,2
1,16,27,37,0,5,3,5,0,0,4
3,3,43,61,0,19,4,11,0,1,1
1,40,57,22,1,15,2,9,0,0,2
3,16,39,44,0,6,4,3,0,1,1
1,20,42,17,0,4,3,5,0,0,1
2,48,43,110,0,13,5,15,0,1,3
2,64,48,91,1,13,2,24,0,0,2
1,8,46,46,0,3,2,8,0,0,1
1,40,38,85,1,10,3,12,0,0,2
2,38,71,10,0,27,2,12,1,0,1
1,67,68,244,0,28,1,47,0,1,1
1,26,42,80,0,0,4,15,0,1,1
3,41,34,83,1,15,5,1,0,1,2
2,2,31,21,0,2,1,6,0,0,1
3,20,48,24,1,29,2,3,0,0,2
2,31,53,351,0,2,3,31,0,1,1
2,45,52,169,1,4,4,29,0,1,4
2,33,27,46,1,7,2,7,0,0,4
1,10,26,34,0,6,3,3,0,0,1
2,62,54,50,1,2,4,3,0,0,2
2,4,35,161,0,16,5,6,0,1,1
1,42,47,212,1,17,4,17,0,0,2
3,27,51,80,1,3,5,11,0,0,3
2,38,42,30,0,1,4,7,0,1,1
3,52,61,53,1,3,5,1,0,1,2
3,35,33,73,0,9,5,4,0,1,1
3,3,20,17,1,1,2,0,0,1,4
2,17,33,23,0,9,5,3,0,0,1
1,55,53,34,1,21,1,8,0,0,2
3,43,36,107,1,5,1,19,0,1,3
2,47,25,21,1,5,1,1,0,1,2
3,65,58,83,0,30,2,16,0,1,1
1,13,20,17,0,1,3,0,0,0,5
3,64,25,76,1,4,3,2,0,1,6
2,12,24,19,0,2,1,0,0,0,1
1,29,32,49,1,0,4,3,0,1,3
2,23,47,173,0,21,3,22,0,1,1
2,14,35,47,0,4,3,10,0,1,1
1,35,61,41,0,23,2,11,0,0,1
3,26,39,105,0,8,3,13,0,1,1
1,13,54,31,0,2,4,2,0,0,1
2,69,40,41,1,13,2,17,0,0,3
3,61,50,102,1,30,4,9,0,1,3
2,45,22,36,1,2,4,0,0,1,5
2,3,37,24,0,13,1,3,0,1,1
2,53,22,25,0,1,4,0,0,0,2
1,59,42,68,0,1,2,21,0,1,1
1,13,34,20,0,11,3,0,0,1,1
3,31,31,48,0,4,1,15,0,0,1
1,40,29,40,1,6,2,8,0,1,5
1,48,55,79,0,15,1,25,0,0,1
3,3,31,28,0,1,1,0,0,0,1
2,51,48,64,0,12,2,22,0,1,1
3,33,41,37,0,15,2,11,0,0,1
3,14,47,48,1,7,1,13,0,0,2
1,17,42,131,1,6,5,6,0,0,3
3,19,29,18,1,9,2,2,0,0,3
2,58,36,38,0,10,2,14,0,1,1
3,22,23,37,0,3,2,4,0,1,3
2,29,31,60,1,1,4,6,0,0,5
3,14,22,13,1,2,3,0,0,1,4
2,70,64,98,1,18,1,31,0,1,2
1,62,52,195,1,2,1,23,0,0,2
2,7,35,47,1,0,1,14,0,0,5
1,56,47,65,1,19,2,22,0,0,3
1,50,50,150,1,22,5,5,0,1,4
2,57,39,106,0,6,5,8,0,0,1
3,2,40,51,0,19,4,14,0,1,1
2,40,38,96,0,17,4,0,0,1,1
2,6,43,33,0,4,5,7,0,0,2
3,23,25,38,1,6,2,1,0,1,3
3,11,32,125,0,6,4,5,0,0,1
1,29,37,145,1,13,5,0,0,1,4
1,42,44,99,1,2,2,21,0,0,3
1,20,34,22,1,2,4,0,0,1,3
2,72,60,31,1,21,1,38,1,0,2
1,2,36,25,0,3,1,6,0,1,1
3,46,25,57,0,5,5,0,0,1,2
2,39,51,41,1,21,5,20,0,0,6
3,24,25,20,1,1,3,1,0,1,2
3,59,43,101,1,4,2,22,0,1,5
1,65,37,56,0,8,2,15,0,0,1
2,50,27,22,1,5,2,5,0,1,3
1,57,37,108,0,11,4,9,0,1,1
3,61,48,115,0,14,4,20,0,1,1
3,34,54,53,0,31,4,22,0,0,1
3,38,53,242,0,13,4,12,0,0,1
1,3,24,20,1,2,2,3,0,1,5
2,4,47,123,0,5,4,11,0,0,1
2,15,35,34,0,0,1,12,0,0,1
1,25,29,31,1,8,4,3,0,1,5
3,21,44,47,0,25,1,12,0,1,2
3,50,37,48,1,11,3,8,0,1,2
2,65,64,13,1,22,2,5,1,1,3
2,59,52,78,1,18,1,25,0,0,2
3,29,26,34,0,7,1,7,0,1,2
1,60,46,81,0,17,5,9,0,1,1
1,71,45,86,1,14,2,25,0,0,2
3,38,27,26,1,0,4,2,0,0,4
3,16,34,51,1,5,2,8,0,1,5
3,7,31,59,0,10,3,10,0,0,1
1,59,53,112,0,21,4,16,0,0,1
2,22,56,57,1,14,4,28,0,0,2
1,18,48,41,1,20,1,2,0,1,2
2,64,46,168,1,19,2,26,0,1,2
2,7,33,29,0,4,4,4,0,1,3
3,65,58,167,0,13,2,14,0,1,2
3,7,24,29,0,5,2,3,0,0,3
1,64,55,104,0,28,1,26,0,1,1
3,42,22,46,1,0,4,0,0,0,2
3,33,26,46,0,5,4,1,0,1,3
1,3,33,51,0,8,4,0,0,1,1
2,69,42,65,1,11,2,18,0,0,2
2,9,33,48,0,1,2,13,0,0,2
3,22,34,46,1,1,3,1,0,0,4
2,53,63,43,1,15,2,18,0,0,2
3,71,53,110,0,30,1,34,0,0,1
3,24,26,32,0,2,3,2,0,0,3
3,12,22,18,1,1,3,0,0,1,2
1,25,39,26,1,1,4,0,0,0,4
3,63,28,34,1,9,2,10,0,1,6
1,33,54,57,1,18,4,4,0,1,3
2,57,54,21,1,20,2,0,0,1,3
3,13,33,38,0,7,3,10,0,1,1
1,13,21,19,0,2,3,0,0,1,1
1,71,39,40,0,2,3,17,0,0,1
3,18,69,58,1,11,3,8,0,0,2
1,17,51,95,1,10,2,15,0,1,2
2,22,43,114,0,4,2,19,0,0,1
2,65,65,128,1,27,3,24,0,0,2
3,7,40,33,0,9,4,2,0,1,1
3,72,66,460,0,30,4,41,0,1,1
1,35,43,224,0,12,3,17,0,0,1
1,24,39,122,0,2,4,12,0,0,3
1,64,24,23,1,0,3,1,0,1,5
2,63,63,191,1,19,3,27,0,0,2
1,38,31,187,1,7,4,6,0,0,3
2,29,37,119,1,9,3,12,0,0,3
1,72,69,44,1,49,2,44,1,1,2
1,10,27,15,1,2,3,2,0,1,2
3,72,64,674,0,41,4,37,0,1,1
3,52,23,33,1,4,4,0,0,1,2
3,13,55,250,0,3,2,35,0,1,2
1,3,33,64,0,6,4,0,0,0,2
3,39,24,26,1,2,2,4,0,0,4
2,28,29,23,0,4,3,5,0,0,2
2,46,42,52,0,9,4,7,0,0,3
2,62,46,200,0,27,3,9,0,1,1
2,23,33,28,1,7,1,4,0,0,2
3,23,25,19,1,5,5,0,0,0,3
2,72,61,76,1,39,3,21,0,0,2
3,56,60,70,0,26,2,20,0,0,1
1,8,30,34,0,1,2,9,0,1,1
3,3,36,34,0,7,5,3,0,1,3
3,37,37,172,0,7,3,13,0,0,1
3,37,53,48,1,13,1,10,0,0,3
2,6,30,45,0,9,2,2,0,1,1
1,48,47,72,0,9,3,13,0,0,5
2,43,43,55,1,3,4,18,0,1,4
2,21,29,40,0,7,4,2,0,1,4
3,6,33,26,0,12,3,0,0,0,1
2,69,51,96,0,18,1,33,0,0,4
1,22,33,54,0,9,1,10,0,0,1
1,28,40,47,1,1,2,9,0,1,3
1,71,47,142,1,23,1,30,0,0,2
2,7,37,57,0,5,4,1,0,0,1
1,63,29,20,0,10,3,7,0,0,2
2,53,57,37,0,25,1,7,0,0,1
2,50,52,36,1,17,4,16,0,0,4
2,39,31,24,1,6,4,2,0,0,2
3,16,19,21,0,0,2,0,0,1,1
3,43,51,186,1,15,3,25,0,0,2
3,44,31,30,0,12,1,7,0,1,3
2,72,66,96,1,43,2,16,0,1,2
3,61,76,15,0,39,1,29,1,0,1
3,43,21,25,1,1,1,4,0,0,4
3,24,39,49,0,11,3,7,0,1,1
3,64,45,38,0,4,2,7,0,1,1
2,64,38,29,0,0,2,2,0,0,2
1,24,26,55,0,7,2,7,0,1,1
3,33,55,64,1,21,3,10,0,1,3
2,33,33,42,1,12,4,7,0,1,5
1,2,40,134,0,9,4,2,0,0,1
2,42,48,82,1,22,1,21,0,1,5
1,52,54,153,1,5,5,10,0,0,2
1,45,66,144,0,43,2,13,0,1,1
3,3,25,22,0,4,4,0,0,0,2
2,37,53,35,1,16,1,16,0,1,4
2,28,57,82,0,33,4,22,0,1,1
3,40,63,61,1,9,1,22,0,0,2
2,37,33,102,0,1,2,12,0,0,1
3,7,27,31,0,5,3,4,0,0,5
1,71,56,170,0,23,1,30,0,1,1
2,19,46,26,0,11,2,0,0,1,1
2,61,40,85,0,15,3,15,0,1,1
3,70,53,183,1,16,2,35,0,1,2
2,60,55,67,1,13,1,18,0,1,2
3,48,45,42,1,5,1,11,0,1,2
1,8,63,31,1,1,1,9,0,0,2
2,58,58,96,1,10,2,17,0,0,4
1,16,24,24,1,5,3,2,0,0,5
2,33,33,53,0,4,2,14,0,1,1
2,39,25,18,0,4,1,0,0,1,1
1,62,51,43,0,10,4,19,0,0,2
1,50,34,104,0,10,3,9,0,0,1
2,48,55,26,0,31,1,1,0,0,1
3,31,62,56,0,5,2,26,0,1,1
2,65,33,49,1,9,2,6,0,0,5
1,36,58,80,0,34,1,21,0,1,1
1,61,46,318,0,5,3,18,0,1,1
2,48,42,35,0,21,4,5,0,0,1
3,35,45,29,0,17,1,6,0,0,1
1,51,28,43,0,8,5,1,0,0,5
2,49,51,80,1,5,5,3,0,0,2
1,35,39,30,1,11,3,2,0,1,3
1,58,70,9,0,2,3,24,1,1,1
1,23,35,23,1,0,2,1,0,0,5
2,26,39,58,1,15,4,9,0,1,2
1,38,37,52,1,1,1,20,0,1,4
1,35,66,14,1,44,3,12,1,1,2
2,37,50,110,0,9,2,21,0,1,1
2,48,43,60,1,1,2,12,0,0,2
3,13,43,123,1,1,3,21,0,0,5
1,72,63,15,1,29,5,31,1,0,2
1,30,27,47,0,4,4,2,0,1,2
1,24,43,138,0,14,4,11,0,1,1
2,25,51,359,1,20,3,29,0,0,2
2,50,52,214,0,30,3,22,0,0,1
2,28,40,64,0,7,1,19,0,0,1
3,34,51,50,0,8,4,14,0,0,1
1,48,32,88,0,2,3,9,0,0,1
2,42,36,86,1,8,2,15,0,1,2
3,67,65,17,1,30,1,29,1,1,2
1,17,41,25,1,7,2,17,0,0,3
1,29,38,46,1,19,2,6,0,0,2
3,66,61,361,0,26,1,40,0,1,1
2,1,21,18,0,1,3,0,0,1,1
1,28,33,14,1,3,4,1,0,0,3
1,15,35,34,1,5,3,8,0,0,2
2,12,64,9,0,13,2,6,1,1,1
3,48,49,39,0,18,2,5,0,1,1
2,59,25,18,1,4,3,2,0,0,4
3,8,26,25,1,1,4,1,0,0,2
1,45,52,46,0,15,5,8,0,1,1
1,25,39,94,1,8,4,11,0,1,4
1,21,44,26,1,4,3,2,0,0,2
2,17,68,335,1,1,1,35,0,1,3
2,41,45,25,0,14,3,6,0,0,1
1,13,45,99,1,3,3,8,0,1,2
2,1,26,30,1,3,2,7,0,1,5
3,3,31,35,1,4,2,2,0,1,3
1,23,27,51,1,2,5,1,0,1,2
3,26,42,49,0,20,3,13,0,0,1
1,37,51,54,1,15,1,15,0,0,3
3,5,30,46,0,3,4,7,0,0,1
1,32,27,91,1,3,4,1,0,1,3
3,12,22,23,0,1,4,0,0,0,2
1,72,54,345,1,6,1,32,0,0,2
3,3,25,45,1,2,4,0,0,1,2
1,54,43,53,0,12,2,12,0,0,1
2,26,26,14,0,2,2,6,0,1,1
3,14,36,67,0,13,5,4,0,1,1
3,22,51,49,0,27,3,1,0,0,1
3,65,47,37,1,18,1,15,0,1,4
3,26,45,33,0,18,1,9,0,0,1
1,20,37,46,0,5,3,10,0,1,4
2,67,60,93,1,32,1,21,0,0,4
1,34,55,48,0,2,2,11,0,0,1
1,37,54,183,1,35,2,22,0,0,3
2,22,23,16,1,3,1,5,0,0,4
2,5,69,11,0,0,2,14,1,0,1
1,28,31,42,1,0,4,5,0,1,3
1,20,41,67,1,7,4,14,0,1,4
3,72,41,181,0,20,4,12,0,0,1
2,30,43,53,0,18,4,6,0,0,1
3,71,52,172,0,17,2,32,0,0,1
2,56,44,87,0,24,2,19,0,0,1
1,8,29,21,1,2,5,0,0,0,2
2,32,65,9,0,6,2,30,1,1,1
2,46,47,144,0,22,3,22,0,1,2
3,60,45,117,1,23,4,11,0,0,3
2,42,32,59,1,0,4,4,0,1,6
3,71,60,508,1,39,4,35,0,0,4
2,72,63,222,1,40,2,43,1,1,2
3,45,66,87,0,11,3,25,1,1,1
3,5,31,34,0,4,1,9,0,0,1
2,17,38,18,1,19,4,0,0,1,4
2,70,55,65,0,12,3,24,0,0,1
3,57,57,130,1,19,3,27,0,1,2
1,20,33,44,0,13,3,8,0,1,1
1,72,52,63,1,21,1,24,0,0,3
3,32,50,57,0,28,4,20,0,0,1
3,22,57,264,1,7,1,35,0,1,2
2,6,24,28,0,2,1,5,0,0,2
3,32,23,26,1,2,3,1,0,1,6
1,38,33,38,0,3,4,0,0,0,1
1,53,35,59,0,15,3,5,0,1,1
3,37,76,117,0,38,4,21,0,1,1
1,47,35,70,1,13,4,9,0,1,2
3,69,59,104,0,37,2,13,0,0,1
3,63,56,71,0,17,3,18,0,1,1
1,61,34,70,1,0,3,7,0,1,3
1,56,38,56,1,8,4,10,0,0,2
3,40,57,68,1,18,1,23,0,0,2
2,61,45,80,0,21,2,13,0,1,1
2,16,26,21,0,7,4,1,0,0,6
2,7,43,69,0,4,3,5,0,1,1
3,20,31,39,1,10,2,3,0,1,2
2,35,38,90,0,7,2,18,0,0,4
1,60,37,64,1,12,5,1,0,1,2
2,47,25,28,0,2,2,6,0,0,1
2,33,28,24,1,3,2,0,0,1,6
3,12,34,44,0,2,2,7,0,0,1
1,10,31,32,0,0,4,7,0,1,2
2,69,33,52,1,9,4,9,0,1,3
1,23,20,15,0,1,3,0,0,1,1
1,53,31,46,0,10,3,6,0,0,2
2,60,57,107,1,14,2,33,0,1,2
2,33,33,56,0,7,2,11,0,0,1
3,67,40,40,1,21,4,7,0,1,4
3,15,38,56,1,5,3,13,0,0,3
3,64,31,46,1,5,2,7,0,1,4
2,46,49,51,1,13,2,21,0,0,2
2,72,60,12,1,33,1,20,1,0,3
1,61,43,34,1,6,5,6,0,0,3
3,54,27,27,0,3,2,6,0,1,5
3,28,36,42,0,3,3,7,0,1,1
2,28,38,119,0,8,5,2,0,0,3
2,32,43,146,0,13,1,27,0,1,1
2,52,46,51,0,17,2,13,0,1,3
1,48,62,86,0,33,1,22,1,1,1
3,52,42,27,1,17,3,8,0,1,2
1,37,43,38,0,8,3,9,0,0,1
1,41,52,928,0,26,3,29,0,0,3
2,43,27,21,1,3,2,1,0,1,3
3,67,60,24,0,24,1,6,0,1,1
3,61,52,91,1,30,1,25,0,1,2
3,70,39,38,1,20,2,8,0,1,4
3,44,32,96,1,1,4,5,0,1,4
3,46,45,96,0,12,3,17,0,0,1
3,39,34,54,0,2,3,5,0,0,1
2,39,59,1668,0,20,4,27,0,1,1
2,50,29,53,1,10,4,0,0,1,4
3,5,31,21,0,1,3,1,0,1,2
2,10,34,52,0,1,5,3,0,1,1
1,72,69,17,0,45,3,36,1,1,1
2,68,60,262,0,40,2,39,0,1,1
3,58,28,34,0,5,5,1,0,1,1
3,18,44,107,1,10,1,19,0,1,7
1,65,45,67,1,25,5,13,0,1,2
3,8,45,37,0,1,4,0,0,0,1
2,1,20,21,0,1,2,0,0,1,2
3,42,58,22,0,7,1,4,0,1,1
1,4,25,71,1,3,3,3,0,1,5
3,17,35,77,0,4,3,8,0,1,1
2,8,24,18,1,1,4,0,0,1,5
1,49,37,50,1,17,2,12,0,1,2
1,56,46,33,1,21,4,7,0,0,2
1,62,57,94,1,21,1,22,0,0,2
2,42,57,209,1,25,1,40,0,1,4
1,13,32,31,0,7,4,5,0,0,2
1,69,46,66,1,18,2,19,0,0,4
2,45,59,51,0,14,1,15,0,0,2
2,66,42,118,1,18,2,20,0,0,2
2,15,35,25,0,10,2,3,0,0,1
1,41,44,59,1,1,3,21,0,1,3
2,11,20,20,0,1,2,0,0,1,1
3,45,30,63,1,0,5,4,0,0,4
1,52,62,36,0,23,4,17,0,0,1
1,42,56,72,0,24,4,18,0,1,1
2,48,35,50,0,11,1,16,0,0,3
3,4,31,39,0,5,2,5,0,0,2
3,53,64,54,1,10,2,20,0,1,2
3,1,59,9,0,4,1,4,1,0,1
3,19,30,33,1,10,4,1,0,0,3
2,33,30,28,0,11,1,9,0,0,1
3,42,36,44,1,14,2,11,0,0,3
1,60,32,34,0,12,4,4,0,1,2
2,57,51,68,1,7,4,18,0,1,3
1,64,39,37,0,5,1,9,0,0,1
2,28,20,18,1,1,3,0,0,0,3
1,29,35,55,1,10,2,7,0,0,4
1,46,31,21,1,12,1,5,0,0,5
1,22,41,29,1,9,3,11,0,0,4
2,10,56,9,0,26,2,6,1,0,2
3,50,41,138,0,16,2,18,0,1,1
1,55,65,28,0,34,4,12,1,1,1
2,15,54,62,0,7,1,11,0,0,1
1,31,32,37,1,13,3,8,0,1,3
3,5,44,83,0,5,1,16,0,1,1
2,69,63,168,0,28,1,43,0,1,2
2,26,27,33,1,4,4,1,0,0,6
3,10,33,66,1,2,3,9,0,1,4
1,26,30,18,0,9,4,1,0,0,3
3,25,30,20,0,0,1,4,0,1,1
3,30,23,19,1,4,3,1,0,0,4
1,21,39,25,1,7,2,1,0,0,4
1,71,46,119,0,27,5,7,0,1,1
3,11,48,323,1,5,4,25,0,0,4
1,24,30,45,1,7,1,11,0,1,2
1,65,59,197,1,27,4,26,0,0,2
1,16,34,56,1,13,3,10,0,1,3
3,37,51,24,1,26,4,4,0,0,2
1,5,30,25,0,4,3,6,0,0,1
1,3,55,26,1,9,5,0,0,1,2
1,5,32,33,0,6,4,3,0,0,2
1,60,44,150,1,4,2,24,0,0,2
2,19,37,99,1,4,2,15,0,1,3
3,54,40,50,0,19,4,12,0,1,2
2,25,41,81,0,3,3,20,0,1,4
2,1,36,21,0,6,1,1,0,0,2
3,54,68,273,0,7,3,27,0,1,1
1,14,31,39,1,9,3,4,0,1,7
3,14,28,17,1,7,2,3,0,0,4
2,10,45,115,1,8,3,17,0,1,4
1,7,23,27,0,3,2,1,0,1,3
2,33,45,35,0,24,1,6,0,0,1
1,3,23,20,0,2,2,4,0,0,1
2,56,58,92,1,3,1,25,0,0,3
2,54,56,207,0,8,2,35,0,1,1
1,72,55,40,1,28,1,11,0,0,5
1,18,29,40,0,4,2,1,0,0,1
3,25,29,55,0,9,4,1,0,0,1
1,42,62,26,0,26,1,35,1,1,1
3,4,37,41,0,2,2,8,0,0,1
2,12,50,203,1,16,4,25,0,0,2
2,53,64,380,1,17,2,36,0,1,2
2,13,38,104,1,8,4,6,0,0,7
3,18,31,24,1,12,3,4,0,0,4
3,67,42,81,1,20,3,20,0,1,5
